index,IR1,IR2,IR3,LW_speed,RW_speed
503, 305.0,42.0,150.0,53.18,6.82
504, 339.0,42.0,70.0,58.81,1.19
505, 242.0,42.0,109.0,38.99,21.01
506, 66.0,43.0,280.0,24.0,36.0
507, 54.0,42.0,290.0,30.0,30.0
508, 54.0,43.0,284.0,30.0,30.0
509, 54.0,42.0,281.0,30.0,30.0
510, 61.0,42.0,227.0,30.0,30.0
511, 135.0,43.0,178.0,39.2,20.8
512, 180.0,43.0,120.0,40.94,19.06
513, 230.0,43.0,108.0,44.59,15.41
514, 140.0,42.0,126.0,34.19,25.81
515, 128.0,42.0,155.0,35.66,24.34
516, 88.0,42.0,182.0,32.02,27.98
517, 77.0,41.0,151.0,32.22,27.78
518, 62.0,42.0,141.0,28.92,31.08
519, 62.0,42.0,116.0,30.0,30.0
520, 57.0,41.0,95.0,41.1,18.9
521, 57.0,42.0,99.0,38.07,21.93
522, 65.0,42.0,145.0,26.58,33.42
523, 55.0,42.0,200.0,30.0,30.0
524, 49.0,41.0,200.0,30.0,30.0
525, 47.0,41.0,196.0,30.0,30.0
526, 49.0,41.0,342.0,30.0,30.0
527, 48.0,42.0,254.0,30.0,30.0
528, 46.0,41.0,217.0,30.0,30.0
529, 47.0,41.0,244.0,30.0,30.0
530, 47.0,41.0,248.0,30.0,30.0
531, 47.0,41.0,238.0,30.0,30.0
532, 50.0,42.0,262.0,30.0,30.0
533, 49.0,43.0,295.0,30.0,30.0
534, 46.0,42.0,267.0,30.0,30.0
535, 48.0,43.0,256.0,30.0,30.0
536, 49.0,43.0,224.0,30.0,30.0
537, 51.0,43.0,261.0,30.0,30.0
538, 48.0,43.0,239.0,30.0,30.0
539, 48.0,43.0,147.0,30.0,30.0
540, 47.0,43.0,97.0,40.1,19.9
541, 48.0,44.0,52.0,32.57,27.43
542, 48.0,48.0,45.0,32.82,27.18
543, 49.0,55.0,43.0,33.55,26.45
544, 49.0,50.0,43.0,32.93,27.07
545, 46.0,45.0,42.0,32.98,27.02
546, 48.0,43.0,43.0,33.51,26.49
547, 46.0,44.0,42.0,32.96,27.04
548, 47.0,44.0,42.0,33.18,26.82
549, 48.0,44.0,42.0,33.25,26.75
550, 49.0,47.0,43.0,33.12,26.88
551, 54.0,43.0,43.0,34.05,25.95
552, 81.0,38.0,40.0,36.68,23.32
553, 45.0,36.0,36.0,32.01,27.99
554, 38.0,37.0,35.0,32.25,27.75
555, 36.0,40.0,38.0,33.12,26.88
556, 38.0,39.0,43.0,33.14,26.86
557, 40.0,38.0,44.0,33.28,26.72
558, 41.0,34.0,43.0,33.62,26.38
559, 40.0,33.0,44.0,33.6,26.4
560, 37.0,33.0,41.0,32.97,27.03
561, 35.0,33.0,40.0,32.85,27.15
562, 39.0,32.0,42.0,33.64,26.36
563, 52.0,34.0,55.0,35.83,24.17
564, 59.0,35.0,75.0,37.71,22.29
565, 52.0,35.0,74.0,36.13,23.87
566, 47.0,34.0,56.0,34.17,25.83
567, 44.0,34.0,49.0,33.83,26.17
568, 41.0,33.0,45.0,33.53,26.47
569, 41.0,33.0,44.0,33.61,26.39
570, 39.0,33.0,41.0,33.14,26.86
571, 39.0,32.0,39.0,33.19,26.81
572, 41.0,32.0,40.0,33.52,26.48
573, 45.0,35.0,37.0,33.23,26.77
574, 185.0,40.0,35.0,46.59,13.41
575, 51.0,39.0,34.0,29.2,30.8
576, 41.0,34.0,38.0,33.12,26.88
577, 130.0,39.0,44.0,42.15,17.85
578, 46.0,37.0,39.0,30.75,29.25
579, 39.0,48.0,38.0,33.26,26.74
580, 48.0,46.0,45.0,33.29,26.71
581, 54.0,47.0,43.0,33.59,26.41
582, 58.0,46.0,47.0,34.4,25.6
583, 50.0,44.0,273.0,28.23,31.77
584, 50.0,197.0,47.0,10.6,49.4
585, 48.0,330.0,43.0,3.32,56.68
586, 48.0,44.0,42.0,35.15,24.85
587, 45.0,42.0,41.0,26.98,33.02
588, 46.0,43.0,42.0,26.82,33.18
589, 45.0,43.0,42.0,26.95,33.05
590, 48.0,45.0,43.0,26.72,33.28
591, 47.0,44.0,42.0,26.88,33.12
592, 50.0,46.0,43.0,26.65,33.35
593, 49.0,45.0,43.0,26.71,33.29
594, 47.0,43.0,42.0,26.81,33.19
595, 49.0,43.0,42.0,26.58,33.42
596, 46.0,43.0,42.0,26.94,33.06
597, 48.0,44.0,42.0,26.75,33.25
598, 48.0,43.0,42.0,26.68,33.32
599, 50.0,45.0,43.0,26.61,33.39
600, 49.0,45.0,44.0,26.64,33.36
601, 49.0,56.0,44.0,26.34,33.66
602, 49.0,205.0,44.0,11.53,48.47
603, 49.0,326.0,43.0,4.0,56.0
604, 49.0,372.0,44.0,2.9,57.1
605, 49.0,375.0,44.0,4.01,55.99
606, 48.0,368.0,43.0,4.8,55.2
607, 48.0,366.0,43.0,4.79,55.21
608, 48.0,366.0,43.0,4.73,55.27
609, 49.0,369.0,43.0,4.53,55.47
610, 49.0,370.0,43.0,4.49,55.51
611, 48.0,368.0,43.0,4.62,55.38
612, 48.0,370.0,44.0,4.29,55.71
613, 50.0,383.0,44.0,3.28,56.72
614, 50.0,406.0,44.0,1.31,58.69
615, 51.0,354.0,44.0,7.3,52.7
616, 51.0,200.0,45.0,21.01,38.99
617, 48.0,49.0,55.0,30.22,29.78
618, 68.0,45.0,306.0,31.68,28.32
619, 119.0,46.0,285.0,37.3,22.7
620, 387.0,45.0,45.0,66.51,-6.51
621, 193.0,45.0,43.0,37.49,22.51
622, 49.0,46.0,43.0,28.87,31.13
623, 49.0,45.0,44.0,33.42,26.58
624, 52.0,45.0,43.0,33.56,26.44
625, 51.0,46.0,44.0,33.4,26.6
626, 47.0,46.0,44.0,33.03,26.97
627, 49.0,45.0,43.0,33.35,26.65
628, 50.0,45.0,43.0,33.39,26.61
629, 48.0,44.0,43.0,33.26,26.74
630, 48.0,44.0,43.0,33.29,26.71
631, 48.0,45.0,44.0,33.29,26.71
632, 48.0,45.0,44.0,33.29,26.71
633, 48.0,45.0,44.0,33.29,26.71
634, 48.0,45.0,43.0,33.19,26.81
635, 48.0,45.0,43.0,33.22,26.78
636, 48.0,45.0,43.0,33.22,26.78
