index,IR1,IR2,IR3,LW_speed,RW_speed
137, 51.0,44.0,43.0,26.5,33.5
138, 51.0,44.0,43.0,26.5,33.5
139, 52.0,44.0,43.0,26.4,33.6
140, 51.0,44.0,43.0,26.53,33.47
141, 51.0,44.0,43.0,26.5,33.5
142, 50.0,43.0,43.0,26.5,33.5
143, 48.0,42.0,42.0,26.7,33.3
144, 48.0,42.0,42.0,26.64,33.36
145, 49.0,43.0,42.0,26.64,33.36
146, 49.0,43.0,42.0,26.64,33.36
147, 49.0,43.0,42.0,26.64,33.36
148, 49.0,43.0,42.0,26.64,33.36
149, 49.0,44.0,42.0,26.74,33.26
150, 47.0,42.0,42.0,26.71,33.29
151, 48.0,44.0,43.0,26.71,33.29
152, 48.0,42.0,42.0,26.61,33.39
153, 51.0,44.0,42.0,26.54,33.46
154, 48.0,44.0,43.0,26.77,33.23
155, 50.0,44.0,43.0,26.51,33.49
156, 50.0,46.0,44.0,26.67,33.33
157, 48.0,44.0,42.0,26.84,33.16
158, 46.0,41.0,40.0,26.88,33.12
159, 43.0,38.0,39.0,26.95,33.05
160, 42.0,39.0,38.0,27.22,32.78
161, 45.0,40.0,40.0,26.73,33.27
162, 51.0,44.0,42.0,26.45,33.55
163, 48.0,43.0,42.0,26.77,33.23
164, 47.0,45.0,43.0,26.91,33.09
165, 49.0,44.0,43.0,26.55,33.45
166, 48.0,51.0,43.0,26.84,33.16
167, 47.0,101.0,43.0,21.68,38.32
168, 48.0,201.0,45.0,13.11,46.89
169, 48.0,262.0,66.0,7.94,52.06
170, 49.0,301.0,143.0,13.2,46.8
171, 45.0,83.0,236.0,33.76,26.24
172, 48.0,48.0,239.0,31.14,28.86
173, 46.0,44.0,63.0,23.5,36.5
174, 46.0,44.0,53.0,26.45,33.55
175, 47.0,44.0,50.0,26.35,33.65
176, 47.0,46.0,48.0,26.69,33.31
177, 48.0,54.0,46.0,26.27,33.73
178, 49.0,99.0,45.0,22.06,37.94
179, 48.0,137.0,44.0,19.55,40.45
180, 47.0,195.0,44.0,14.79,45.21
181, 48.0,293.0,44.0,6.86,53.14
182, 47.0,212.0,44.0,17.77,42.23
183, 47.0,63.0,45.0,30.17,29.83
184, 48.0,47.0,48.0,26.93,33.07
185, 49.0,46.0,61.0,25.07,34.93
186, 48.0,45.0,162.0,31.92,28.08
187, 47.0,46.0,246.0,30.0,30.0
188, 48.0,46.0,227.0,30.0,30.0
189, 48.0,46.0,237.0,30.0,30.0
190, 51.0,47.0,208.0,30.0,30.0
191, 52.0,46.0,195.0,30.0,30.0
192, 51.0,45.0,190.0,30.0,30.0
193, 52.0,46.0,188.0,30.0,30.0
194, 51.0,47.0,211.0,30.0,30.0
195, 51.0,47.0,233.0,30.0,30.0
196, 49.0,47.0,218.0,30.0,30.0
197, 50.0,48.0,220.0,30.0,30.0
198, 50.0,48.0,221.0,30.0,30.0
199, 49.0,48.0,229.0,30.0,30.0
